organisation_chain_raw,organisation_name,tender_active,tender_url,tender_id,tender_category,no_of_covers,emd_amount,tender_fee,processing_fee,title,work_description,tender_value,tender_value_num,product_category,period_of_work_days,form_of_contract,location,bid_submission_end_date,bid_end_iso,tender_inviting_authority,authority_address
Local Self Government Department||Thiruvananthapuram||Corporation Engineers Office TVM||Thiruvananthapuram Corporation,Local Self Government Department,1,https://etenders.kerala.gov.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SW%2BoWwxS4ZZTOGhVKFmsv4g%3D%3D,2026_LSGD_857125_6,Works,1,"19,017","1,680",295,27064-2026 GENERAL-pre monsoon maintenance to drainage lines-construction of culvert at Benedict Nagar- punnaram thoppu road and chenchery kurukulam road in Mannanthala ward at Ulloor zonal-General Civil Work,27064-2026 GENERAL-pre monsoon maintenance to drainage lines-construction of culvert at Benedict Nagar- punnaram thoppu road and chenchery kurukulam road in Mannanthala ward at Ulloor zonal-General Civil Work,"7,60,671",760671.0,Civil Works - Roads,60,Item Wise,Thiruvananthapuram Corporation,30-Jun-2026 06:00 PM,2026-06-30 18:00:00,Superintending Engineer,"O/O Superintending Engineer, LID and EW Thiruvananthapuram Corporation"
Kerala State Electronics Development Corp Ltd||Keltron Equipment Complex,Kerala State Electronics Development Corp Ltd,1,https://etenders.kerala.gov.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SdH4owg42H7ll%2FLh2ysn2SA%3D%3D,2026_KSEDC_857243_1,Goods,2,"20,203","3,030",295,SUPPLY OF DISPLAY BOX ASSEMBLY FOR ESV3-1 PROJECT,SUPPLY OF DISPLAY BOX ASSEMBLY FOR ESV3-1 PROJECT,,,Equipments,,Item Rate,KEC KARAKULAM,02-Jul-2026 06:00 PM,2026-07-02 18:00:00,HEAD PURCHASE,"Keltron Equipment Complex Karakulam, Trivandrum"
Forest Department||Deputy Director (Periyar West) Division Peermade,Forest Department,1,https://etenders.kerala.gov.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SPsrW8tFcRShqFNVwnz95Vw%3D%3D,2026_FD_857319_1,Works,2,"11,605","1,150",295,Construction of Toilet Block for Kandankayam EDC in Moozhickal Section under Azhutha Range.,Construction of Toilet Block for Kandankayam EDC in Moozhickal Section under Azhutha Range.,"4,64,067",464067.0,Civil Works - Buildings,60,Percentage,Kandankayam in Moozhickal EDC,01-Jul-2026 05:00 PM,2026-07-01 17:00:00,Deputy Director,"Deputy Director , Periyar Tiger Reserve West Division , Peermade 685531"
PWD||Chief Engineer (Buildings)||SE Bldgs (S)||EE Bldgs (ALP)||AEE BldgsSD Alappuzha,PWD,1,https://etenders.kerala.gov.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SPkfKsduV8ddm8rCqtYMMhg%3D%3D,2026_PWD_855721_2,Works,1,"6,350",560,295,"GENERAL-Running Contract 2026-27- Maintenance work for Family Court ,Alappuzha - General Civil Work","GENERAL-Running Contract 2026-27- Maintenance work for Family Court ,Alappuzha - General Civil Work","2,53,990",253990.0,Civil Works - Buildings,365,Item Rate,Alappuzha,01-Jul-2026 05:00 PM,2026-07-01 17:00:00,Assistant Executive Engineer,Assistant Executive Engineer PWD Buildings Subdivision Alappuzha
Kerala State Electricity Board||Kerala Hydel Tourism Centre,Kerala State Electricity Board,1,https://etenders.kerala.gov.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SUzW4IwGSa3Y98%2B3wJoEUtg%3D%3D,2026_KSEB_857332_1,Services,1,"25,000",590,295,"Letting out Space on monthly revenue sharing basis for running Virtual Reality adventure centre for a period of 2 Years at Hydel Park, Munnar and Dew Valley Boating Centre, Sengulam","Letting out Space on monthly revenue sharing basis for running Virtual Reality adventure centre for a period of 2 Years at Hydel Park, Munnar and Dew Valley Boating Centre, Sengulam",,,Miscellaneous Services,,Percentage,Munnar,08-Jul-2026 12:30 PM,2026-07-08 12:30:00,"The Director , KHTC","Vydhuthi Bhavanam, Pattom, TVM"
Forest Department||Deputy Director (Periyar West) Division Peermade,Forest Department,1,https://etenders.kerala.gov.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SQkU2Oi4rLzxIynL49ebb9A%3D%3D,2026_FD_855289_2,Goods,2,"4,200",590,295,Supply and Installation of camera (with specification as per BOQ) for Real Time Monitoring system at Uppupara and Zero Point under Azhutha Range under Periyar West Division during 2026-27.,Supply and Installation of camera (with specification as per BOQ) for Real Time Monitoring system at Uppupara and Zero Point under Azhutha Range under Periyar West Division during 2026-27.,"1,68,000",168000.0,Equipments,30,Percentage,Azhutha Range,01-Jul-2026 05:00 PM,2026-07-01 17:00:00,Deputy Director,"Deputy Director, Periyar Tiger Reserve West Division , Peermade 685531"
PWD||Chief Engineer (Buildings)||SE Bldgs (S)||EE Bldgs (TVM),PWD,1,https://etenders.kerala.gov.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SMsskUVn%2BTjVRGa1DF7%2Fm4Q%3D%3D,2026_PWD_853622_2,Works,1,"50,000","2,760",767,Deposit-Construction of Lift Pareeksha Bhavan Construction of new Lift at Pareekshabhavan Poojappura Civil work,Deposit-Construction of Lift Pareeksha Bhavan Construction of new Lift at Pareekshabhavan Poojappura Civil work,"21,18,499",2118499.0,Civil Works - Buildings,180,Item Rate,Thiruvananthapuram,03-Jul-2026 05:00 PM,2026-07-03 17:00:00,Executive Engineer,PWD Buildings Division Thiruvananthapuram
Forest Department||Deputy Director (Periyar West) Division Peermade,Forest Department,1,https://etenders.kerala.gov.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SK3xcIM43VqxlGMcmG8cLbQ%3D%3D,2026_FD_857326_1,Works,2,"18,690","1,855",295,Construction of Tower for Real Time Monitoring System at Pampamala in Pachakkanam FS during 2026-27 .,Construction of Tower for Real Time Monitoring System at Pampamala in Pachakkanam FS during 2026-27 .,"7,47,430",747430.0,Civil Works - Others,120,Percentage,Pachakkanm in Pampa Range,01-Jul-2026 05:00 PM,2026-07-01 17:00:00,Deputy Director,"Deputy Director, Periyar Tiger Reserve West Diviion , Peermade 685531"
PWD||Chief Engineer (Buildings)||SE Bldgs (S)||EE Bldgs (PTA)||AEE Buildings SD Thiruvalla,PWD,1,https://etenders.kerala.gov.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Sh9TAWOqry40d9EE5GnSUQg%3D%3D,2026_PWD_857325_1,Works,1,"4,549",555,295,GENERAL One year Running contract work at Village Offices under Vennikulam Section Village office Anicadu Village office Mallappally Village office Kalloopara Village office Perumpetty Village office Thelliyoor RC Work for the year 2026 2027 Gene,GENERAL One year Running contract work at Village Offices under Vennikulam Section Village office Anicadu Village office Mallappally Village office Kalloopara Village office Perumpetty Village office Thelliyoor RC Work for the year 2026 2027 Gene,"1,81,963",181963.0,Civil Works - Buildings,365,Item Rate,Thiruvalla,01-Jul-2026 11:30 AM,2026-07-01 11:30:00,Assistant Executive Engineer,PWD Buildings Subdivision Thiruvalla
Kerala State Electricity Board||Kerala Hydel Tourism Centre,Kerala State Electricity Board,1,https://etenders.kerala.gov.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S%2FEULOKscpxZLe%2BctUB2rtg%3D%3D,2026_KSEB_857305_1,Services,1,"25,000",590,295,"Letting out Space on monthly revenue sharing basis for running 360-Degree Video Booth for a period of 2 Years at Hydel Park, Munnar and Dew Valley Boating Centre, Sengulam","Letting out Space on monthly revenue sharing basis for running 360-Degree Video Booth for a period of 2 Years at Hydel Park, Munnar and Dew Valley Boating Centre, Sengulam",,,Miscellaneous Services,30,Percentage,Munnar,08-Jul-2026 12:00 PM,2026-07-08 12:00:00,"The Director , KHTC","Vydhuthi Bhavanam pattom, TVM"
